beta,immune_effect_on_progression_to_clinical,max_clinical_probability,midpoint,mean_pfpr,mean_eir,mean_population,total_clinical_episodes,avg_clinical_episodes_per_1000,mean_immunity_all,mean_immunity_under5,mean_immunity_2to10
0.1,5,0.9,0.02,7.733739633027383,3.5179595054124975,62206.583333333336,6899,110.90466041241616,0.21909284666258358,0.12041332660252074,0.18753586721980345
0.1,5,0.9,0.05,7.241336778643767,3.5327098501302747,61850.666666666664,11215,181.3238337501078,0.20740619376328642,0.11292604287022862,0.17748992454051168
0.1,5,0.9,0.1,6.843718793046226,3.343268709905812,61807.75,16840,272.4577419498364,0.19259705892139203,0.10276549179606818,0.1619021998357736
0.1,5,0.9,0.2,6.5969388068987636,3.365672695323234,61638.0,28669,465.1189201466628,0.17249137090190345,0.08390544792893734,0.13550572321954862
0.1,5,0.95,0.02,7.747059427660347,3.5400438319356717,62094.916666666664,7584,122.13560154548345,0.2186976998976257,0.12232112254945622,0.18906453880197796
0.1,5,0.95,0.05,6.955425846469982,3.4648866232320508,61671.833333333336,11656,189.00038104915535,0.20302992523289867,0.1097581609735046,0.17219154337122544
0.1,5,0.95,0.1,6.677987664750225,3.435003849565856,61787.666666666664,17938,290.316837772371,0.18981958971342686,0.09679644718591295,0.1550353506236106
0.1,5,0.95,0.2,6.439603055588935,3.351838254037425,61312.5,30484,497.19062181447504,0.1679738946432945,0.07987798275370976,0.1293213026579661
0.1,5,0.99,0.02,7.671244932668839,3.543137621602171,62321.0,8352,134.01582131223824,0.2168347320639208,0.11723718819857994,0.18459958467067925
0.1,5,0.99,0.05,7.277728688494925,3.4590207673994087,61779.5,13559,219.47409739476686,0.20132651525292913,0.11039285490609758,0.16898137129312796
0.1,5,0.99,0.1,6.750347258007451,3.3534673708937084,61419.5,19254,313.4835027963432,0.18701689935174337,0.09659897635538502,0.1524434282816813
0.1,5,0.99,0.2,6.293660594169882,3.400596254489893,61230.916666666664,32037,523.2160768457111,0.16407202004228427,0.07797505492170494,0.1259919002556649
0.1,10,0.9,0.02,7.579672015700486,3.499992572736661,62063.25,6987,112.57869995528755,0.21708896621365206,0.12203046390856898,0.1883001729801442
0.1,10,0.9,0.05,7.461322255512633,3.49861219753167,62176.583333333336,11272,181.29011591984656,0.21069324282640378,0.1159531046253036,0.18130179452839568
0.1,10,0.9,0.1,6.983092846502548,3.3227559077075175,61672.416666666664,16847,273.16912341957305,0.19316312814688233,0.09967991205839598,0.15875833811942966
0.1,10,0.9,0.2,6.475933587071897,3.352638473151003,61198.916666666664,27560,450.33476899781726,0.17306471876288895,0.08343455409863515,0.1351534095592953
0.1,10,0.95,0.02,7.479999744949782,3.635880434109488,62117.25,7374,118.71098607874623,0.21808119546873792,0.12079846380436858,0.18673845733784422
0.1,10,0.95,0.05,7.214976616313481,3.5047581488451094,62005.666666666664,12159,196.09498056629235,0.20586286829338954,0.11193787274620283,0.17568994948164843
0.1,10,0.95,0.1,6.843192289823938,3.3717457067963257,61667.0,18174,294.71192047610555,0.19015859071631847,0.09705794620994283,0.15539585618973742
0.1,10,0.95,0.2,6.538732191169121,3.24272841798164,61434.583333333336,30646,498.8395515555163,0.16803672540563686,0.0809389142789907,0.13057062066830183
0.1,10,0.99,0.02,7.581153778559521,3.6675579181194577,61842.0,7905,127.82574949063743,0.21938603500088757,0.12144715598659102,0.18601501674835538
0.1,10,0.99,0.05,7.116199837014153,3.409795862489677,62010.416666666664,13203,212.91584075256173,0.201352786044958,0.10497920379607308,0.16749096406327532
0.1,10,0.99,0.1,6.704585338864884,3.3297323759601496,61825.333333333336,19211,310.7302292479889,0.18543616428848345,0.09535580117674897,0.15277926785451518
0.1,10,0.99,0.2,6.302809189824267,3.1452672910186705,61124.166666666664,31543,516.0479352138408,0.16079932563875785,0.07392279622290472,0.12175294728862474
0.1,15,0.9,0.02,7.88674347832892,3.4496786392176904,62047.5,7148,115.20206293565413,0.22012987440807238,0.12406060935730472,0.19094125486943989
0.1,15,0.9,0.05,7.142013049099993,3.4365994188262086,62171.416666666664,11119,178.8442438044278,0.20432369210186485,0.10887668703924121,0.17233099256475537
0.1,15,0.9,0.1,7.141637433092087,3.311936528136678,61673.75,17143,277.9626664504753,0.19254848028767313,0.09997039269576498,0.15797420104248042
0.1,15,0.9,0.2,6.382964804642994,3.2829208740775946,61552.916666666664,27358,444.4630974703338,0.1707173491893074,0.0816835842176155,0.13076468745896713
0.1,15,0.95,0.02,7.919192897187902,3.6529097452896426,62078.333333333336,7667,123.50524874486536,0.22177539012695877,0.12402786725327104,0.1923531257333322
0.1,15,0.95,0.05,7.2716824392317205,3.4701818404222107,62225.0,12475,200.48212133386903,0.20441150714236467,0.11117652370736882,0.1749620814085755
0.1,15,0.95,0.1,6.857785945375834,3.3102751745080927,61482.166666666664,18176,295.6304402631658,0.18777691614448247,0.0990097905998696,0.15638780690127074
0.1,15,0.95,0.2,6.256002743619849,3.338368960757388,61362.416666666664,28750,468.52783123220104,0.1675217197414949,0.07821572357742775,0.1289810865552082
0.1,15,0.99,0.02,7.5567557905538365,3.496996581304419,61928.416666666664,8037,129.77887103524097,0.21520669949310436,0.11965768744080758,0.18402482061652628
0.1,15,0.99,0.05,7.060209639887222,3.4967740845268342,62194.916666666664,13082,210.33873347098304,0.20242634006958668,0.10680707532729304,0.17064184843321015
